venue,innings,batting_team,bowling_team,runs_6overs,wickets,avg_rating_bats,avg_rating_bowls
Newlands,2,Deccan Chargers,Kolkata Knight Riders,37,36,7.875,9.5
St George's Park,1,Chennai Super Kings,Royal Challengers Bangalore,68,37,8.25,9.5
St George's Park,2,Royal Challengers Bangalore,Chennai Super Kings,46,39,7.9375,8.583333333333334
Kingsmead,1,Punjab Kings,Kolkata Knight Riders,46,36,7.666666666666667,9.083333333333334
Kingsmead,2,Kolkata Knight Riders,Punjab Kings,60,40,8.083333333333334,8.833333333333334
Newlands,1,Deccan Chargers,Royal Challengers Bangalore,62,36,7.833333333333333,9.5
Newlands,2,Royal Challengers Bangalore,Deccan Chargers,31,38,8.1875,8.25
Kingsmead,1,Delhi Capitals,Chennai Super Kings,59,36,8.3125,8.4375
Kingsmead,2,Chennai Super Kings,Delhi Capitals,61,38,8.333333333333334,8.8125
Newlands,1,Rajasthan Royals,Kolkata Knight Riders,54,37,8.0,8.666666666666666
Newlands,2,Kolkata Knight Riders,Rajasthan Royals,38,38,8.166666666666666,9.25
Kingsmead,1,Royal Challengers Bangalore,Punjab Kings,49,37,8.05,8.833333333333334
Kingsmead,2,Punjab Kings,Royal Challengers Bangalore,44,40,7.5,9.375
Kingsmead,1,Deccan Chargers,Mumbai Indians,55,39,8.0,8.8125
Kingsmead,2,Mumbai Indians,Deccan Chargers,50,41,8.0,8.25
St George's Park,1,Royal Challengers Bangalore,Delhi Capitals,45,38,8.125,9.083333333333334
St George's Park,2,Delhi Capitals,Royal Challengers Bangalore,43,37,8.3125,9.333333333333334
Newlands,1,Punjab Kings,Rajasthan Royals,38,42,7.666666666666667,8.8125
Newlands,2,Rajasthan Royals,Punjab Kings,32,39,8.125,8.625
Kingsmead,1,Chennai Super Kings,Deccan Chargers,62,40,8.333333333333334,8.375
Kingsmead,2,Deccan Chargers,Chennai Super Kings,69,38,7.833333333333333,8.35
St George's Park,1,Mumbai Indians,Kolkata Knight Riders,61,40,8.25,9.0
St George's Park,2,Kolkata Knight Riders,Mumbai Indians,47,39,7.9375,8.8125
SuperSport Park,1,Delhi Capitals,Rajasthan Royals,42,37,8.3125,8.583333333333334
SuperSport Park,2,Rajasthan Royals,Delhi Capitals,33,39,7.9375,9.083333333333334
Kingsmead,1,Kolkata Knight Riders,Royal Challengers Bangalore,45,38,7.9375,8.5
Kingsmead,2,Royal Challengers Bangalore,Kolkata Knight Riders,46,41,7.5,8.5
Kingsmead,1,Punjab Kings,Mumbai Indians,26,37,7.625,8.8125
Kingsmead,2,Mumbai Indians,Punjab Kings,23,39,8.05,8.625
SuperSport Park,1,Chennai Super Kings,Rajasthan Royals,40,36,8.125,9.25
SuperSport Park,2,Rajasthan Royals,Chennai Super Kings,38,37,7.9375,8.416666666666666
SuperSport Park,1,Deccan Chargers,Delhi Capitals,37,37,7.9375,9.083333333333334
SuperSport Park,2,Delhi Capitals,Deccan Chargers,41,38,8.3125,8.5
Buffalo Park,1,Mumbai Indians,Kolkata Knight Riders,40,39,8.0625,9.0
Buffalo Park,2,Kolkata Knight Riders,Mumbai Indians,26,37,7.875,8.5625
Kingsmead,1,Royal Challengers Bangalore,Punjab Kings,38,37,7.875,8.833333333333334
Kingsmead,2,Punjab Kings,Royal Challengers Bangalore,35,37,7.5,9.0
New Wanderers Stadium,1,Chennai Super Kings,Delhi Capitals,53,39,8.25,9.083333333333334
New Wanderers Stadium,2,Delhi Capitals,Chennai Super Kings,49,37,8.25,8.625
St George's Park,1,Deccan Chargers,Rajasthan Royals,39,36,7.916666666666667,8.8125
St George's Park,2,Rajasthan Royals,Deccan Chargers,30,38,7.85,8.5
St George's Park,1,Kolkata Knight Riders,Punjab Kings,28,38,8.083333333333334,8.625
St George's Park,2,Punjab Kings,Kolkata Knight Riders,51,38,8.25,8.625
New Wanderers Stadium,1,Mumbai Indians,Royal Challengers Bangalore,25,37,8.0,9.0
New Wanderers Stadium,2,Royal Challengers Bangalore,Mumbai Indians,51,39,7.833333333333333,9.0
Buffalo Park,1,Chennai Super Kings,Deccan Chargers,53,38,8.125,8.75
Buffalo Park,2,Deccan Chargers,Chennai Super Kings,52,38,7.95,8.916666666666666
Kingsmead,1,Rajasthan Royals,Punjab Kings,57,37,7.5,9.0
Kingsmead,2,Punjab Kings,Rajasthan Royals,29,36,8.1,8.625
Kingsmead,1,Kolkata Knight Riders,Delhi Capitals,54,39,8.125,9.0625
Kingsmead,2,Delhi Capitals,Kolkata Knight Riders,57,37,8.375,8.8125
SuperSport Park,1,Deccan Chargers,Mumbai Indians,37,39,7.875,8.8125
SuperSport Park,2,Mumbai Indians,Deccan Chargers,41,37,7.9375,8.5625
SuperSport Park,1,Royal Challengers Bangalore,Rajasthan Royals,29,39,7.8,9.0
SuperSport Park,2,Rajasthan Royals,Royal Challengers Bangalore,31,36,7.583333333333333,9.0
SuperSport Park,1,Chennai Super Kings,Punjab Kings,57,37,8.083333333333334,9.0
SuperSport Park,2,Punjab Kings,Chennai Super Kings,53,37,8.083333333333334,8.3125
Buffalo Park,1,Mumbai Indians,Delhi Capitals,30,41,7.75,9.083333333333334
Buffalo Park,2,Delhi Capitals,Mumbai Indians,36,39,8.375,9.5
De Beers Diamond Oval,1,Rajasthan Royals,Chennai Super Kings,34,36,7.833333333333333,8.6875
De Beers Diamond Oval,2,Chennai Super Kings,Rajasthan Royals,37,38,8.25,8.625
De Beers Diamond Oval,1,Deccan Chargers,Punjab Kings,52,38,7.833333333333333,9.5
De Beers Diamond Oval,2,Punjab Kings,Deccan Chargers,45,37,8.0625,8.6
New Wanderers Stadium,1,Kolkata Knight Riders,Delhi Capitals,37,40,7.75,9.083333333333334
New Wanderers Stadium,2,Delhi Capitals,Kolkata Knight Riders,47,38,8.375,8.25
St George's Park,1,Mumbai Indians,Royal Challengers Bangalore,46,42,8.166666666666666,9.0
St George's Park,2,Royal Challengers Bangalore,Mumbai Indians,39,38,8.0,9.333333333333334
De Beers Diamond Oval,1,Deccan Chargers,Rajasthan Royals,42,37,8.0,9.125
De Beers Diamond Oval,2,Rajasthan Royals,Deccan Chargers,30,38,7.8125,8.833333333333334
SuperSport Park,1,Punjab Kings,Mumbai Indians,51,41,8.05,9.333333333333334
SuperSport Park,2,Mumbai Indians,Punjab Kings,42,38,8.125,9.5
SuperSport Park,1,Kolkata Knight Riders,Royal Challengers Bangalore,38,36,7.875,9.5
SuperSport Park,2,Royal Challengers Bangalore,Kolkata Knight Riders,46,40,8.0,8.25
Kingsmead,1,Delhi Capitals,Deccan Chargers,56,39,8.25,8.625
Kingsmead,2,Deccan Chargers,Delhi Capitals,50,39,7.9375,9.083333333333334
Kingsmead,1,Rajasthan Royals,Mumbai Indians,42,36,7.625,9.1875
Kingsmead,2,Mumbai Indians,Rajasthan Royals,26,36,8.0,8.75
Kingsmead,1,Chennai Super Kings,Royal Challengers Bangalore,52,37,8.125,9.125
Kingsmead,2,Royal Challengers Bangalore,Chennai Super Kings,33,38,7.9,8.916666666666666
OUTsurance Oval,1,Delhi Capitals,Punjab Kings,38,40,8.3125,9.5
OUTsurance Oval,2,Punjab Kings,Delhi Capitals,37,40,8.15,8.916666666666666
St George's Park,1,Mumbai Indians,Chennai Super Kings,49,38,8.0,8.625
St George's Park,2,Chennai Super Kings,Mumbai Indians,35,37,8.125,9.333333333333334
New Wanderers Stadium,1,Kolkata Knight Riders,Deccan Chargers,31,37,7.75,9.0
New Wanderers Stadium,2,Deccan Chargers,Kolkata Knight Riders,50,37,8.0,8.625
OUTsurance Oval,1,Delhi Capitals,Rajasthan Royals,35,38,8.3125,8.833333333333334
OUTsurance Oval,2,Rajasthan Royals,Delhi Capitals,24,39,7.625,9.0
New Wanderers Stadium,1,Punjab Kings,Deccan Chargers,39,40,8.15,9.0
New Wanderers Stadium,2,Deccan Chargers,Punjab Kings,46,36,7.8125,9.125
SuperSport Park,1,Chennai Super Kings,Kolkata Knight Riders,54,39,7.875,8.6
SuperSport Park,2,Kolkata Knight Riders,Chennai Super Kings,56,37,7.75,8.416666666666666
New Wanderers Stadium,1,Delhi Capitals,Royal Challengers Bangalore,37,36,8.25,9.0
New Wanderers Stadium,2,Royal Challengers Bangalore,Delhi Capitals,27,36,7.75,8.833333333333334
Kingsmead,1,Rajasthan Royals,Kolkata Knight Riders,46,37,8.0,8.5
Kingsmead,2,Kolkata Knight Riders,Rajasthan Royals,29,37,7.75,9.25
Kingsmead,1,Chennai Super Kings,Punjab Kings,50,36,8.083333333333334,9.125
Kingsmead,2,Punjab Kings,Chennai Super Kings,29,37,8.416666666666666,8.375
SuperSport Park,1,Royal Challengers Bangalore,Deccan Chargers,33,36,7.75,9.0
SuperSport Park,2,Deccan Chargers,Royal Challengers Bangalore,64,38,8.0,8.75
SuperSport Park,1,Mumbai Indians,Delhi Capitals,30,42,7.95,8.583333333333334
SuperSport Park,2,Delhi Capitals,Mumbai Indians,60,36,8.5,9.0
SuperSport Park,1,Delhi Capitals,Deccan Chargers,49,38,8.375,9.333333333333334
SuperSport Park,2,Deccan Chargers,Delhi Capitals,84,41,7.916666666666667,8.65
New Wanderers Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,52,36,8.25,9.125
New Wanderers Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,59,37,7.6875,8.083333333333334
New Wanderers Stadium,1,Deccan Chargers,Royal Challengers Bangalore,31,39,7.8125,9.125
New Wanderers Stadium,2,Royal Challengers Bangalore,Deccan Chargers,36,37,7.75,9.0
Dr DY Patil Sports Academy,1,Kolkata Knight Riders,Deccan Chargers,38,39,7.625,8.833333333333334
Dr DY Patil Sports Academy,2,Deccan Chargers,Kolkata Knight Riders,62,39,8.0,8.875
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Delhi Capitals,44,39,7.625,8.916666666666666
"Punjab Cricket Association Stadium, Mohali",2,Delhi Capitals,Punjab Kings,39,38,8.3125,9.5
Brabourne Stadium,1,Mumbai Indians,Rajasthan Royals,69,42,8.166666666666666,8.3125
Brabourne Stadium,2,Rajasthan Royals,Mumbai Indians,39,36,7.583333333333333,8.8125
MA Chidambaram Stadium,1,Deccan Chargers,Chennai Super Kings,57,40,7.8125,8.6875
MA Chidambaram Stadium,2,Chennai Super Kings,Deccan Chargers,34,36,7.958333333333333,8.875
Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,24,37,7.75,8.9375
Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,61,36,7.5,9.125
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Delhi Capitals,47,37,8.0625,9.166666666666666
"Sardar Patel Stadium, Motera",2,Delhi Capitals,Rajasthan Royals,60,39,8.3125,9.166666666666666
M Chinnaswamy Stadium,1,Punjab Kings,Royal Challengers Bangalore,50,41,7.5,9.5
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Punjab Kings,61,40,7.75,9.333333333333334
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,31,36,8.25,8.4375
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,45,37,7.8,8.583333333333334
Arun Jaitley Stadium,1,Mumbai Indians,Delhi Capitals,67,37,8.166666666666666,8.6875
Arun Jaitley Stadium,2,Delhi Capitals,Mumbai Indians,56,37,8.333333333333334,9.0
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,31,39,8.0,9.5
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,59,40,7.75,9.0
Arun Jaitley Stadium,1,Delhi Capitals,Chennai Super Kings,52,37,8.416666666666666,8.8125
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Capitals,56,37,8.0,8.8125
Barabati Stadium,1,Deccan Chargers,Punjab Kings,56,37,7.8125,8.9375
Barabati Stadium,2,Punjab Kings,Deccan Chargers,27,37,7.75,8.833333333333334
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Kolkata Knight Riders,56,38,7.9375,8.8125
"Sardar Patel Stadium, Motera",2,Kolkata Knight Riders,Rajasthan Royals,38,36,7.5,9.0
Brabourne Stadium,1,Mumbai Indians,Royal Challengers Bangalore,45,40,8.0,9.5
Brabourne Stadium,2,Royal Challengers Bangalore,Mumbai Indians,55,36,7.75,9.0
Barabati Stadium,1,Deccan Chargers,Delhi Capitals,47,37,7.8125,8.625
Barabati Stadium,2,Delhi Capitals,Deccan Chargers,48,36,8.5,8.875
MA Chidambaram Stadium,1,Punjab Kings,Chennai Super Kings,38,36,7.833333333333333,8.8125
MA Chidambaram Stadium,2,Chennai Super Kings,Punjab Kings,42,40,8.25,8.1875
Brabourne Stadium,1,Kolkata Knight Riders,Mumbai Indians,41,39,8.0,9.0625
Brabourne Stadium,2,Mumbai Indians,Kolkata Knight Riders,57,39,8.125,8.5
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,38,38,7.666666666666667,8.916666666666666
M Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,29,40,8.0,9.125
"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Punjab Kings,53,39,8.0,8.75
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Rajasthan Royals,76,38,7.666666666666667,8.833333333333334
Brabourne Stadium,1,Chennai Super Kings,Mumbai Indians,51,40,8.125,8.5
Brabourne Stadium,2,Mumbai Indians,Chennai Super Kings,63,41,8.125,8.583333333333334
M Chinnaswamy Stadium,1,Delhi Capitals,Royal Challengers Bangalore,64,37,8.25,9.5
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Capitals,46,38,7.75,9.083333333333334
"Sardar Patel Stadium, Motera",1,Deccan Chargers,Rajasthan Royals,55,39,7.8125,8.25
"Sardar Patel Stadium, Motera",2,Rajasthan Royals,Deccan Chargers,54,36,8.125,8.625
"Punjab Cricket Association Stadium, Mohali",1,Kolkata Knight Riders,Punjab Kings,50,40,7.875,8.5625
"Punjab Cricket Association Stadium, Mohali",2,Punjab Kings,Kolkata Knight Riders,42,39,7.625,8.25
"Sardar Patel Stadium, Motera",1,Rajasthan Royals,Chennai Super Kings,58,38,8.0,8.083333333333334
"Sardar Patel Stadium, Motera",2,Chennai Super Kings,Rajasthan Royals,58,36,8.25,8.833333333333334
Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,52,40,8.083333333333334,8.625
Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,50,38,7.8125,8.625
Arun Jaitley Stadium,1,Delhi Capitals,Kolkata Knight Riders,62,39,8.2,8.625
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Capitals,36,38,7.9,8.833333333333334
Brabourne Stadium,1,Punjab Kings,Mumbai Indians,48,37,7.6875,8.625
Brabourne Stadium,2,Mumbai Indians,Punjab Kings,45,38,8.0,8.75
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,52,39,7.916666666666667,8.083333333333334
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,56,36,8.125,9.125
Arun Jaitley Stadium,1,Delhi Capitals,Rajasthan Royals,52,38,8.25,8.625
Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Capitals,39,37,8.041666666666666,8.875
Eden Gardens,1,Kolkata Knight Riders,Deccan Chargers,46,37,7.833333333333333,7.8125
Eden Gardens,2,Deccan Chargers,Kolkata Knight Riders,59,38,7.833333333333333,8.125
"Punjab Cricket Association Stadium, Mohali",1,Punjab Kings,Royal Challengers Bangalore,41,36,7.666666666666667,9.5
